fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_preferred,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,morningstar_risk_rating,years_up,years_down,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
AAMPX,"AllianzGI Micro Cap Fund Class P",Small Growth,"Allianz Funds",19080000,14.48,0,1,2010-12-26,Growth,Small,USD,1.34,1.2,1.97,98.03,0,19.43,2.64,1.95,7.95,774.33,2.2,6.55,8.86,0,3.22,41.34,0,2.24,3.74,8.76,23.09,14.48,17.01,-2.43,-1.12,14.48,17.01,-4.15,7.7,10.07,15.88,3.83,8.45,14.6,16.24,-16.22,-5.76,14.46,21.5,11.34,11.2,3.3,-2.41,-0.47,2.44,50.87,40.91,16.02,13.15,-11.67,-3.55,NaN,NaN,5,5,3,0.94,0.01,0.47,0.01,1.34,0.01,54.1,0.7,52.85,0.65,68.46,0.73,18.04,0.16,19.18,0.17,21.67,0.18,0.55,0.01,0.25,0.01,0.72,0.01,7.1,0.12,2.43,0.06,10.02,0.13
AASRX,"American Beacon Small Cap Value Fund R6 Class",Small Value,"American Beacon",6380000000,12.21,0.75,4,2017-02-27,Value,Small,USD,0.81,1.21,4.71,95.29,0,12.53,1.4,0.71,5.39,2354.27,6.2,13.88,28.48,4.51,2.4,2.75,2.33,0.3,4.92,19.62,14.61,12.21,12.13,-4.09,-3.2,12.21,12.13,-3.34,-2.55,8.4,8.3,5,3.94,15.11,14.12,-15.59,-15.46,NaN,8.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,1,0.79,0.01,0.51,0,1.32,0.01,65.46,0.6,65.04,0.6,77.78,0.73,16.86,0.16,16.07,0.16,18.32,0.18,0.48,0,0.33,0,0.84,0.01,5.59,0.06,3.62,0.03,11.51,0.11
AASSX,"American Beacon Small Cap Value Fund Advisor Class",Small Value,"American Beacon",6380000000,12.12,0.13,3,2003-04-30,Value,Small,USD,1.29,1.21,4.71,95.29,0,12.53,1.4,0.71,5.39,2354.27,6.2,13.88,28.48,4.51,2.4,2.75,2.33,0.3,4.92,19.62,14.61,12.12,12.13,-4.14,-3.2,12.12,12.13,-3.81,-2.55,7.86,8.3,4.48,3.94,14.55,14.12,-16.05,-15.46,8.17,8.54,26.13,25.99,-5.5,-6.71,4.18,3.34,39.39,36.22,15.91,16,-4.5,-4.45,25.5,26.17,4,10,5,0.75,0.01,0.47,0,1.28,0.01,65.6,0.6,65.11,0.6,77.75,0.73,16.87,0.16,16.08,0.16,18.32,0.18,0.46,0,0.3,0,0.81,0.01,5.16,0.06,3.17,0.03,11.07,0.11
AAUPX,"AllianzGI Ultra Micro Cap Fund Class P",Small Growth,"Allianz Funds",23660000,11.99,0,1,2010-12-26,Growth,Small,USD,1.57,1.2,1.82,98.18,0,20.15,2.45,1.89,7.58,587.54,2.33,7.66,8.74,0,1.87,39.36,1.36,1.61,4.85,8.76,23.45,11.99,17.01,-3.99,-1.12,11.99,17.01,-5.14,7.7,7.94,15.88,1.27,8.45,17.61,16.24,-14.87,-5.76,11.02,21.5,8.34,11.2,-3.07,-2.41,-3.46,2.44,59.72,40.91,19.68,13.15,-3.68,-3.55,NaN,NaN,4,4,4,0.79,0.01,0.26,0.01,1.55,0.01,51.67,0.7,51.23,0.65,67.04,0.73,19,0.16,18.97,0.17,21.45,0.18,0.43,0.01,0.12,0.01,0.85,0.01,5.23,0.12,0.39,0.06,12.39,0.13
ABASX,"AB Discovery Value Fund Class A",Small Value,"AllianceBernstein",2880000000,11.62,0.29,4,2001-03-28,Value,Medium,USD,1.1,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.62,12.13,-2.28,-3.2,11.62,12.13,-2.85,-2.55,8.48,8.3,5.73,3.94,15.26,14.12,-15.22,-15.46,12.71,8.54,24.38,25.99,-5.89,-6.71,8.61,3.34,37.22,36.22,18.06,16,-8.4,-4.45,26.51,26.17,3,12,5,0.77,0.01,0.56,0,1.32,0.01,70.35,0.6,71.42,0.6,81.36,0.73,15.13,0.16,14.96,0.16,18,0.18,0.53,0,0.39,0,0.86,0.01,6.08,0.06,4.36,0.03,11.57,0.11
ABBSX,"AB Discovery Value Fund Class B",Small Value,"AllianceBernstein",2880000000,11.54,0.14,4,2001-03-28,Value,Medium,USD,1.88,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.54,12.13,-2.34,-3.2,11.54,12.13,-3.02,-2.55,8.34,8.3,5.61,3.94,15.13,14.12,-15.33,-15.46,12.56,8.54,24.29,25.99,-6.01,-6.71,8.57,3.34,37.17,36.22,18,16,-8.58,-4.45,26.23,26.17,3,12,5,0.76,0.01,0.55,0,1.31,0.01,70.27,0.6,71.42,0.6,81.38,0.73,15.13,0.16,14.95,0.16,18.01,0.18,0.52,0,0.39,0,0.85,0.01,5.96,0.06,4.26,0.03,11.46,0.11
ABCFX,"Invesco Greater China B",China Region,"Invesco",97510000,41.33,0,3,2006-03-30,Blend,Large,USD,2.68,1.63,1.95,98.05,0,16.9,2.39,1.53,9.49,19988.35,2.87,29.17,0.48,0,12.89,5.35,3.8,6.43,1.08,7.73,30.2,41.33,20.95,1.73,3.82,4.79,20.95,41.33,-6.4,14.16,11.65,8.76,7.57,2.6,10.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,8,3,1.23,0.01,0.81,0.01,0.46,0.01,59.83,0.49,47.66,0.53,67.42,0.63,17.14,0.17,16.55,0.21,24.2,0.21,0.83,0.01,0.57,0,0.22,0.01,12.43,0.09,8.52,0.06,2.15,0.1
ABCSX,"AB Discovery Value Fund Class C",Small Value,"AllianceBernstein",2880000000,11.42,0,3,2001-03-28,Value,Medium,USD,1.85,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.42,12.13,-2.34,-3.2,11.42,12.13,-3.54,-2.55,7.67,8.3,4.96,3.94,14.43,14.12,-15.84,-15.46,11.85,8.54,23.4,25.99,-6.54,-6.71,7.86,3.34,36.24,36.22,17.3,16,-9.08,-4.45,25.56,26.17,3,12,5,0.71,0.01,0.5,0,1.26,0.01,70.33,0.6,71.54,0.6,81.46,0.73,15.12,0.16,14.96,0.16,17.99,0.18,0.48,0,0.34,0,0.82,0.01,5.4,0.06,3.68,0.03,10.92,0.11
ABEMX,"Aberdeen Emerging Markets Fund Institutional Class",Diversified Emerging Mkts,"Aberdeen",5660000000,10.84,1.29,4,2007-05-10,Growth,Large,USD,1.1,1.36,1.05,98.95,0,16.23,2.25,1.87,6.86,41408.19,9.5,10.94,25.85,6.22,10.84,0.62,0,2.42,3.97,4.17,25.46,10.84,10.27,2.87,1.14,10.84,10.27,-5.45,-9.31,8.44,9.11,2.81,2.61,10.83,8.92,-14.65,-16.07,30.24,34.17,11.96,8.47,-13.68,-13.79,-2.45,-3.01,-7.49,-0.14,26.15,18.15,-11.05,-19.86,27.58,19.26,3,5,6,0.75,0.01,0.32,0,0.99,0.01,60.99,0.67,71.81,0.71,78.98,0.82,13.46,0.13,14.62,0.15,18.11,0.19,0.57,0.01,0.21,0,0.63,0.01,7.19,0.08,1.95,0.02,10.16,0.08
ABIZX,"AMG Managers Fairpointe Mid Cap Fund Class Z",Mid-Cap Value,"AMG Funds",2530000000,14.99,0.79,2,2017-09-28,Value,Medium,USD,0.8,1.09,3.43,96.57,0,12.66,1.56,0.63,8.12,5207.28,4.85,36.49,7.82,0,8,7.73,0,0,3.86,15.81,15.43,14.99,12.94,-1.28,-0.67,14.99,12.94,-1.7,0.66,7.87,8.55,4.05,5.87,15.97,14.46,-18.31,-12.86,NaN,13.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,1,0.75,0.01,0.44,0.01,1.39,0.01,73.06,0.78,74.15,0.79,79.65,0.85,16.69,0.13,16.46,0.13,18.77,0.16,0.46,0.01,0.27,0,0.86,0.01,4.95,0.07,2.56,0.05,11.75,0.12
ABLYX,"American Beacon Large Cap Value Fund Class Y",Large Value,"American Beacon",5800000000,13.49,1.86,2,2009-08-02,Value,Large,USD,0.68,1,5.23,94.77,0,12.54,1.76,1.23,3.69,62112.87,3.67,10.58,24.33,0.09,7.33,12.62,1.98,3.94,13.27,12.32,9.87,13.49,11.29,-0.08,0.46,13.49,11.29,2.64,4.48,10.88,10.01,6.37,7.2,13.97,13.68,-12.09,-8.53,17.02,15.94,15.91,14.81,-6.13,-4.05,10.5,10.21,34.81,31.21,19,14.57,-2.46,-0.75,14.4,13.66,5,6,3,0.93,0.01,0.59,0.01,1.18,0.01,84.46,0.84,89.08,0.86,93.8,0.9,12.89,0.11,13.06,0.11,14.32,0.13,0.77,0.01,0.48,0.01,0.96,0.01,8.67,0.09,5.05,0.07,12.37,0.14
ABMAX,"American Beacon Mid-Cap Value Fund Class A",Mid-Cap Value,"American Beacon",571500000,13.63,0.95,2,2010-05-16,Value,Medium,USD,1.26,1.09,4.57,95.43,0,12.69,1.53,0.92,5.03,8925.66,4.37,15.77,22.65,7.9,3.36,6.47,5.67,0.65,8.09,20.27,4.8,13.63,12.94,-1.37,-0.67,13.63,12.94,-5.2,0.66,7.3,8.55,4.71,5.87,14.95,14.46,-20.05,-12.86,17.29,13.22,17.23,18.06,-4.27,-5.41,8.01,9.31,39.22,35.14,15.45,16.6,-0.16,-3.96,NaN,21.92,4,5,3,0.68,0.01,0.47,0.01,1.28,0.01,81.84,0.78,83.22,0.79,88.78,0.85,14.52,0.13,14.39,0.13,16.22,0.16,0.47,0.01,0.34,0,0.91,0.01,4.91,0.07,3.33,0.05,12.03,0.12
ABMIX,"AMG Managers Fairpointe Mid Cap Fund Class I",Mid-Cap Value,"AMG Funds",2530000000,14.94,0.68,2,2004-07-05,Value,Medium,USD,0.88,1.09,3.43,96.57,0,12.66,1.56,0.63,8.12,5207.28,4.85,36.49,7.82,0,8,7.73,0,0,3.86,15.81,15.43,14.94,12.94,-1.28,-0.67,14.94,12.94,-1.78,0.66,7.97,8.55,4.21,5.87,16.2,14.46,-18.37,-12.86,11.8,13.22,24.36,18.06,-10.13,-5.41,10.03,9.31,44.82,35.14,16.75,16.6,-6.3,-3.96,23.31,21.92,5,10,4,0.75,0.01,0.46,0.01,1.4,0.01,72.96,0.78,74.06,0.79,79.61,0.85,16.7,0.13,16.46,0.13,18.77,0.16,0.46,0.01,0.28,0,0.87,0.01,5.02,0.07,2.69,0.05,11.93,0.12
ABPRX,"AB Large Cap Growth Fund Class R",Large Growth,"AllianceBernstein",8440000000,15.8,0,4,2003-11-02,Growth,Large,USD,1.29,1.06,10.24,89.76,0,24.03,7.3,3.31,18.13,73263.61,2.41,15.67,9.63,0,10.29,23.61,0,0,0,6.61,31.78,15.8,15.67,2.33,2.12,15.8,15.67,15.35,10.71,16.91,15.35,14.71,11.26,17.5,15.94,1.53,-2.09,30.88,27.67,2.41,3.23,10.12,3.6,13.2,10,36.51,33.92,17.79,15.34,-1.18,-2.46,9.05,15.53,3,12,3,1.36,0.01,1.2,0.01,1.43,0.01,85.33,0.84,86.61,0.86,87.53,0.88,11.4,0.13,11.3,0.13,14.07,0.14,1.32,0.01,1.21,0.01,1.19,0.01,15.94,0.13,14.8,0.1,16.44,0.15
ABSAX,"American Beacon Small Cap Value Fund Class A",Small Value,"American Beacon",6380000000,12.15,0.31,3,2010-05-16,Value,Small,USD,1.21,1.21,4.71,95.29,0,12.53,1.4,0.71,5.39,2354.27,6.2,13.88,28.48,4.51,2.4,2.75,2.33,0.3,4.92,19.62,14.61,12.15,12.13,-4.13,-3.2,12.15,12.13,-3.76,-2.55,7.97,8.3,4.58,3.94,14.6,14.12,-15.97,-15.46,8.27,8.54,26.28,25.99,-5.43,-6.71,4.25,3.34,39.35,36.22,15.91,16,-4.64,-4.45,NaN,26.17,3,5,3,0.76,0.01,0.48,0,1.28,0.01,65.54,0.6,65.06,0.6,77.8,0.73,16.88,0.16,16.08,0.16,18.32,0.18,0.46,0,0.31,0,0.81,0.01,5.24,0.06,3.25,0.03,11.11,0.11
ABSIX,"AB Discovery Value Fund Class I",Small Value,"AllianceBernstein",2880000000,11.73,0.55,4,2005-02-28,Value,Medium,USD,0.86,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.73,12.13,-2.3,-3.2,11.73,12.13,-2.59,-2.55,8.76,8.3,6.03,3.94,15.61,14.12,-15.05,-15.46,13,8.54,24.73,25.99,-5.59,-6.71,8.95,3.34,37.67,36.22,18.53,16,-8.19,-4.45,26.92,26.17,3,9,4,0.8,0.01,0.58,0,1.35,0.01,70.28,0.6,71.45,0.6,81.36,0.73,15.15,0.16,14.98,0.16,18.03,0.18,0.54,0,0.41,0,0.87,0.01,6.3,0.06,4.61,0.03,11.82,0.11
ABSKX,"AB Discovery Value Fund Class K",Small Value,"AllianceBernstein",2880000000,11.63,0.21,4,2005-02-28,Value,Medium,USD,1.21,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.63,12.13,-2.31,-3.2,11.63,12.13,-2.93,-2.55,8.38,8.3,5.66,3.94,15.23,14.12,-15.32,-15.46,12.59,8.54,24.3,25.99,-5.92,-6.71,8.55,3.34,37.2,36.22,18.17,16,-8.42,-4.45,26.59,26.17,3,9,4,0.77,0.01,0.55,0,1.32,0.01,70.41,0.6,71.47,0.6,81.44,0.73,15.14,0.16,14.96,0.16,18,0.18,0.52,0,0.39,0,0.86,0.01,5.99,0.06,4.29,0.03,11.54,0.11
ABSRX,"AB Discovery Value Fund Class R",Small Value,"AllianceBernstein",2880000000,11.53,0,4,2003-11-02,Value,Medium,USD,1.52,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.53,12.13,-2.3,-3.2,11.53,12.13,-3.25,-2.55,8.05,8.3,5.33,3.94,14.91,14.12,-15.56,-15.46,12.25,8.54,23.9,25.99,-6.2,-6.71,8.25,3.34,36.79,36.22,17.79,16,-8.63,-4.45,26.19,26.17,3,11,4,0.74,0.01,0.53,0,1.3,0.01,70.4,0.6,71.44,0.6,81.42,0.73,15.1,0.16,14.93,0.16,17.99,0.18,0.5,0,0.37,0,0.84,0.01,5.72,0.06,4.01,0.03,11.3,0.11
ABSYX,"American Beacon Small Cap Value Fund Class Y",Small Value,"American Beacon",6380000000,12.25,0.64,3,2009-08-02,Value,Small,USD,0.88,1.21,4.71,95.29,0,12.53,1.4,0.71,5.39,2354.27,6.2,13.88,28.48,4.51,2.4,2.75,2.33,0.3,4.92,19.62,14.61,12.25,12.13,-4.07,-3.2,12.25,12.13,-3.41,-2.55,8.32,8.3,4.92,3.94,14.99,14.12,-15.7,-15.46,8.63,8.54,26.66,25.99,-5.12,-6.71,4.61,3.34,39.94,36.22,16.39,16,-4.16,-4.45,25.95,26.17,3,6,3,0.78,0.01,0.51,0,1.31,0.01,65.6,0.6,65.12,0.6,77.82,0.73,16.88,0.16,16.08,0.16,18.32,0.18,0.48,0,0.33,0,0.83,0.01,5.52,0.06,3.55,0.03,11.41,0.11
ABSZX,"AB Discovery Value Fund Class Z",Small Value,"AllianceBernstein",2880000000,11.75,0.67,4,2013-10-14,Value,Medium,USD,0.78,1.21,1.56,98.44,0,13.49,1.48,0.93,6.9,4150.6,3.34,12.32,23.61,11.64,5.82,2.79,5.4,0,6.73,15.19,13.17,11.75,12.13,-2.25,-3.2,11.75,12.13,-2.53,-2.55,8.84,8.3,6.11,3.94,15.64,14.12,-14.98,-15.46,13.08,8.54,24.79,25.99,-5.51,-6.71,9.05,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,3,2,0.8,0.01,0.59,0,1.35,0.01,70.43,0.6,71.45,0.6,81.42,0.73,15.15,0.16,14.98,0.16,18.01,0.18,0.55,0,0.42,0,0.87,0.01,6.37,0.06,4.69,0.03,11.86,0.11
